,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,3,0,0,2,0,0,4,0,0,5,0,0,0.0,153637592.2014655,61400000.0,0.0,0.0,215037592.2014655
1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,6,0,0,4,0,0,51113186.58873354,68131392.75477895,115300000.0,1675.2672126961145,0.005467601537906274,183433068.02199164
2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,3,0,0,3,0,0,3,0,0,41332261.86833959,138516282.95600915,30700000.0,624.8050811473802,0.0036016794644527514,169216907.7610903
3,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,5,4,0,0,5053982.578634541,100390051.24711207,176700000.0,0.0,0.003990554089368007,277090051.24711204
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,2,0,0,3,0,0,0,0,0,3,0,0,35443120.85227191,134623177.40234125,30700000.0,1378.7440657719385,0.002631850287309232,165324556.146407
5,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,1,0,0,3,0,0,11952114.589469252,106682844.11395007,146000000.0,282.2975478139987,0.0018021587221292933,252683126.4114979
6,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,32822064.749830965,59104221.36630872,146000000.0,1337.976373657728,0.0027984894594593546,205105559.3426824
7,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,6,0,0,3,0,0,27079193.562797092,74336781.7598697,146000000.0,889.4752529645008,0.0028759749169786145,220337671.23512265
8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,3,0,0,62363698.41312392,74938809.49900383,61400000.0,1908.4960293925237,0.008912076285140099,136340717.99503323
9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,4,0,0,3,0,0,7148808.396469647,107063169.52740422,115300000.0,139.26271853729224,0.0019150212881458096,222363308.79012275
