,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,Total Investment Costs
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,0,4,0,0,2,0,0,4,0,0,2843996.4653052995,152210479.1192275,0.0,108.9550962289772,0.00018324025022734765,152210588.0743237
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,4,0,0,3,0,0,4,0,0,10919547.928502621,148307522.70471147,0.0,438.44490569850825,0.0009770207551361876,148307961.14961717
2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,2,0,0,2,0,0,3,0,0,4,0,0,0.0,144071961.36120877,61400000.0,0.0,0.0,205471961.36120877
3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,3,0,0,2,0,0,4,0,0,3873201.233714733,144980848.13668013,30700000.0,176.6454742357972,0.00024735878887581963,175681024.78215435
4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,2,0,0,2,0,0,1,0,0,3,0,0,4,0,0,0.0,142203430.78972572,92100000.0,0.0,0.0,234303430.78972572
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,5,0,0,3,0,0,4,0,0,0.0,155726824.18461627,0.0,0.0,0.0,155726824.18461627
6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,2,0,0,1,0,0,3,0,0,4,0,0,6497500.198512691,142203430.78972572,61400000.0,233.11206264521587,0.00087916159100672,203603663.90178835
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,2,0,0,2,0,0,4,0,0,9862925.103320198,142950633.8841225,30700000.0,465.1656695140175,0.0009386525194604106,173651099.049792
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,2,0,0,3,0,0,4,0,0,0.0,149096245.25281107,30700000.0,0.0,0.0,179796245.25281107
9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,3,0,0,3,0,0,3,0,0,7755516.959889721,143076585.0989493,30700000.0,313.7255090515912,0.0006779345071341789,173776898.82445836
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,3,0,0,3,0,0,8617838.423773926,150306216.08149666,0.0,346.1159309249061,0.0007704577409513064,150306562.19742757
11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,2,0,0,2,0,0,2,0,0,2,0,0,4,0,0,3882976.671970855,142950633.8841225,61400000.0,186.65064785583328,0.00019803539608111652,204350820.53477034
12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,2,0,0,2,0,0,2,0,0,3,0,0,10651326.99933545,139925043.3693054,61400000.0,485.71236104443636,0.0007576935673941844,201325529.08166644
13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,2,0,0,2,0,0,2,0,0,2,0,0,3,0,0,10437305.105830723,139925043.3693054,61400000.0,534.9692774148288,0.0007327164197338721,201325578.3385828
14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,2,0,0,3,0,0,4,0,0,6591638.486535025,144071961.36120877,30700000.0,267.03881193754694,0.0005734827386026474,174772228.40002072
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,4,0,0,3,0,0,4,0,0,555371.84115862,153331806.59631377,0.0,22.339009959663322,4.941946875400662e-05,153331828.93532375
16,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,0.0,141046370.84639168,151900000.0,0.0,0.0,292946370.8463917
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,2,0,0,2,0,0,4,0,0,2042310.6103144893,147974917.7757248,30700000.0,98.66307787334688,0.0001035960088219906,178675016.43880266
18,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,2,0,0,2,0,0,3,0,0,4,0,0,4961971.849174577,139511659.21826863,146000000.0,200.7486554966719,0.0004335533431480972,285511859.96692413
19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,2,0,0,2,0,0,2,0,0,3,0,0,3,0,0,6282339.48048264,141046370.84639168,61400000.0,254.2224376687947,0.0005485417182182234,202446625.06882936
20,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,2,0,0,2,0,0,1,0,0,2,0,0,3,0,0,5417009.210020324,138056512.79782233,92100000.0,257.12788403883656,0.0002800151787427294,230156769.92570636
